surveyId,lang,country,countryPop,sneType,party.string,euFundRec,mlgS1,mlgS2,mlgS3,mlgS4,mlgS5,mlgC1,mlgC2,euCompSocpol,euCompEc,euCompInAf,euCompForAf,euCompOv,snaCompSocpol,snaCompEc,snaCompInAf,snaCompForAf,snaCompOv,snaCompC1,snaCompC2,effectiveIntOrg,effectiveDirRel,effectiveNatDel,intorgUseEc,intorgUsePol,intorgUseCul,intorgUseOv,euFundImp,euFundImp.bin,represent,represent.bin,norepSneRep,norepKnow,norepMotiv,norepOpin,repTime,repDur,repSatis,repPersImp,repBenEc,repBenPol,repBenDem,repBenMlg,repOp,repVoteCom,repVoteNatDel,repVoteParty,repVoteSne,extOffice,extOfficeBin,nooffSneOff,noooffKnow,nooffMotiv,extOffTime,extOffDur,extOffSatis,extOffPersImp,age,gender,eduLev,polLeftRight,polIdLoc,polIdNat,polIdEu,polIdCul,polIdIdeo
1323,de,Germany,81276000,Local,SPD,1,5,5,5,5,5,4,4,5,5,5,5,5,3,3,4,2,3,5,3,1,1,1,3,4,4,4,4,1,NONE,0,0,4,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,3,5,,NA,NA,NA,54,Male,1,2,1,1,1,0,1
1326,fr,France,66121000,Local,aucun,1,5,5,5,5,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,1,1,1,3,4,5,3,4,1,OTHER,1,,NA,NA,NA,CURRENT,5,5,4,4,4,NA,4,SAME,NA,NA,NA,NA,BRU,1,NA,NA,NA,CURRENT,5,5,5,30,Female,3,5,0,0,0,0,0
1331,en,Norway,5194000,RegionLeg,Centre Party,1,4,5,5,3,4,3,3,2,2,4,5,2,5,5,3,2,5,2,5,1,1,0,2,5,5,3,3,1,OTHER,1,,NA,NA,NA,CURRENT,4,4,4,3,4,4,4,SAME,NA,NA,NA,NA,BRU,1,NA,NA,NA,PAST,1,5,5,28,Male,3,5,1,1,0,1,1
1332,de,Germany,81276000,RegionLeg,CDU,1,4,4,4,4,1,4,5,1,5,2,5,5,2,2,2,1,2,4,4,0,1,0,4,4,4,4,4,1,NONE,0,1,3,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,3,4,,NA,NA,NA,62,Male,2,5,0,1,0,0,1
1337,de,Austria,8608000,Local,ôVP,0,4,5,5,4,4,NA,5,4,3,4,4,4,4,3,2,2,3,5,NA,1,1,0,4,5,5,4,4,1,NONE,0,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,NA,NA,,NA,NA,NA,54,Male,NA,4,1,0,0,0,0
1338,en,Norway,5194000,Local,"Hõyre, the conservative party",1,4,5,4,5,5,5,NA,4,5,5,5,5,3,1,2,2,5,3,5,0,1,0,4,3,5,3,1,0,NONE,0,1,2,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,2,5,,NA,NA,NA,59,Male,2,7,1,0,0,0,1
1340,en,Netherlands,16933000,Local,Democrats 66,0,5,5,5,4,5,3,5,3,5,5,5,5,5,3,3,4,4,5,4,1,1,1,2,4,2,2,4,1,NONE,0,1,2,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRU,1,NA,NA,NA,PAST,5,5,5,53,Male,3,5,1,0,0,0,1
1343,fr,Belgium,11259000,Local,MR (liberal),1,3,4,5,4,3,4,4,4,4,5,4,4,4,4,2,2,3,3,5,1,1,0,4,4,NA,4,4,1,NONE,0,1,2,4,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,2,4,,NA,NA,NA,52,Male,3,6,1,0,0,0,0
1347,en,Greece,10769000,RegionAd,Right wing,1,4,5,NA,4,5,5,5,5,4,5,5,5,4,4,5,4,4,4,5,1,1,1,4,4,4,4,4,1,NONE,0,1,3,5,MORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,0,4,5,,NA,NA,NA,33,Female,3,5,NA,NA,NA,NA,NA
1349,de,Germany,81276000,RegionLeg,SPD,1,5,4,3,4,1,4,4,3,5,2,5,4,4,3,2,1,3,5,3,1,1,0,4,4,3,4,4,1,NONE,0,1,2,4,SAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE,0,1,4,5,,NA,NA,NA,40,Male,3,4,1,0,0,0,1
1350,en,United Kingdom,65081000,Local,Scottish Labour,1,1,1,1,2,2,3,3,3,4,3,3,3,4,4,3,3,3,4,5,1,1,0,4,2,4,3,4,1,OTHER,1,,NA,NA,NA,CURRENT,3,4,4,4,4,3,3,SAME,NA,NA,NA,NA,BRU,1,NA,NA,NA,PAST,1,4,5,57,Male,1,3,1,0,0,0,1
